,funding_cycle,county_name,visit_type,item,variable,variable_detail,frequency_count,percent,date_closed,location,:@computed_region_43an_4dx5,:@computed_region_9yqb_tdyd,:@computed_region_assa_msit,:@computed_region_8ire_itmf,:@computed_region_5edz_4hdv
0,2014-2019,Albany,Initial visits,Housing condition,Chemical smell indoors,No,1244,96.3,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
1,2014-2019,Albany,Initial visits,Housing condition,Chemical smell indoors,Unknown,12,0.9,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
2,2014-2019,Albany,Initial visits,Housing condition,Chemical smell indoors,Yes,36,2.8,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
3,2014-2019,Albany,Initial visits,Housing condition,"Cockroaches, evidence or reported",No,1016,78.6,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
4,2014-2019,Albany,Initial visits,Housing condition,"Cockroaches, evidence or reported",Unknown,10,0.8,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
5,2014-2019,Albany,Initial visits,Housing condition,"Cockroaches, evidence or reported",Yes,266,20.6,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
6,2014-2019,Albany,Initial visits,Housing condition,Deteriorated paint inside,No,809,83.3,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
7,2014-2019,Albany,Initial visits,Housing condition,Deteriorated paint inside,Not applicable,321,,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
8,2014-2019,Albany,Initial visits,Housing condition,Deteriorated paint inside,Unknown,5,0.5,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
9,2014-2019,Albany,Initial visits,Housing condition,Deteriorated paint inside,Yes,157,16.2,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
10,2014-2019,Albany,Initial visits,Housing condition,Deteriorated paint outside,No,807,83.1,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
11,2014-2019,Albany,Initial visits,Housing condition,Deteriorated paint outside,Not applicable,321,,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
12,2014-2019,Albany,Initial visits,Housing condition,Deteriorated paint outside,Unknown,6,0.6,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
13,2014-2019,Albany,Initial visits,Housing condition,Deteriorated paint outside,Yes,158,16.3,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
14,2014-2019,Albany,Initial visits,Housing condition,Effective housecleaning,No,118,9.1,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
15,2014-2019,Albany,Initial visits,Housing condition,Effective housecleaning,Unknown,11,0.9,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
16,2014-2019,Albany,Initial visits,Housing condition,Effective housecleaning,Yes,1163,90.0,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
17,2014-2019,Albany,Initial visits,Housing condition,Electrical hazards,No,1187,91.9,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
18,2014-2019,Albany,Initial visits,Housing condition,Electrical hazards,Unknown,15,1.2,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
19,2014-2019,Albany,Initial visits,Housing condition,Electrical hazards,Yes,90,7.0,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
20,2014-2019,Albany,Initial visits,Housing condition,Every room has ventilation,No,89,6.9,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
21,2014-2019,Albany,Initial visits,Housing condition,Every room has ventilation,Unknown,10,0.8,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
22,2014-2019,Albany,Initial visits,Housing condition,Every room has ventilation,Yes,1193,92.3,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
23,2014-2019,Albany,Initial visits,Housing condition,Exits function properly,No,52,4.0,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
24,2014-2019,Albany,Initial visits,Housing condition,Exits function properly,Unknown,8,0.6,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
25,2014-2019,Albany,Initial visits,Housing condition,Exits function properly,Yes,1232,95.4,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
26,2014-2019,Albany,Initial visits,Housing condition,Food/harborage for cockroaches,No,1240,96.0,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
27,2014-2019,Albany,Initial visits,Housing condition,Food/harborage for cockroaches,Unknown,15,1.2,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
28,2014-2019,Albany,Initial visits,Housing condition,Food/harborage for cockroaches,Yes,37,2.9,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
29,2014-2019,Albany,Initial visits,Housing condition,Functional fire extinguisher,No,1177,91.1,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
30,2014-2019,Albany,Initial visits,Housing condition,Functional fire extinguisher,Unknown,10,0.8,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
31,2014-2019,Albany,Initial visits,Housing condition,Functional fire extinguisher,Yes,105,8.1,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
32,2014-2019,Albany,Initial visits,Housing condition,Functional smoke detector on every floor,No,221,17.1,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
33,2014-2019,Albany,Initial visits,Housing condition,Functional smoke detector on every floor,Unknown,6,0.5,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
34,2014-2019,Albany,Initial visits,Housing condition,Functional smoke detector on every floor,Yes,1065,82.4,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
35,2014-2019,Albany,Initial visits,Housing condition,Functional smoke detectors in common areas,No,436,33.7,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
36,2014-2019,Albany,Initial visits,Housing condition,Functional smoke detectors in common areas,Unknown,62,4.8,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
37,2014-2019,Albany,Initial visits,Housing condition,Functional smoke detectors in common areas,Yes,794,61.5,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
38,2014-2019,Albany,Initial visits,Housing condition,Furnace filter dirty or missing,No,880,68.1,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
39,2014-2019,Albany,Initial visits,Housing condition,Furnace filter dirty or missing,Unknown,369,28.6,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
40,2014-2019,Albany,Initial visits,Housing condition,Furnace filter dirty or missing,Yes,43,3.3,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
41,2014-2019,Albany,Initial visits,Housing condition,Humidifier or vaporizer used,No,986,76.3,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
42,2014-2019,Albany,Initial visits,Housing condition,Humidifier or vaporizer used,Unknown,41,3.2,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
43,2014-2019,Albany,Initial visits,Housing condition,Humidifier or vaporizer used,Yes,265,20.5,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
44,2014-2019,Albany,Initial visits,Housing condition,Improperly stored flammables,No,1206,93.3,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
45,2014-2019,Albany,Initial visits,Housing condition,Improperly stored flammables,Unknown,73,5.7,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
46,2014-2019,Albany,Initial visits,Housing condition,Improperly stored flammables,Yes,13,1.0,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
47,2014-2019,Albany,Initial visits,Housing condition,Improperly stored garbage inside,No,1220,94.4,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
48,2014-2019,Albany,Initial visits,Housing condition,Improperly stored garbage inside,Unknown,10,0.8,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
49,2014-2019,Albany,Initial visits,Housing condition,Improperly stored garbage inside,Yes,62,4.8,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
